"#","item","qty","unit_cost_inr","section","notes"
"1","Ultra-slim chassis (3D-printed, PETG/ASA)",1,250,"chassis","main.scad → openscad -o stl/chassis_v1_slim.stl main.scad ; print with 4 perimeters, 30 % grid infill, 0.2 mm layers, no supports"
"2","Belt-clip (3D-printed separately)",1,30,"accessory","see assembly.md §3 for the snap-fit STL"
"3","NVIDIA Jetson Orin Nano Dev Kit, 8 GB",1,7500,"compute","85×56 mm; M.2 HAT+ stack ≤ 22 mm"
"4","M.2 NVMe 256 GB + Jetson",1,4500,"compute","kit includes 16 mm stacking header + M2.5 standoffs"
"5","M2.5 × 12 mm standoff (nylon, 4 pcs)",1,80,"fasteners","Pi PCB → M.2 HAT+ stand-off; screw into pi_hole_d = 2.7 mm bosses"
"6","M2.5 × 6 mm pan-head screw (4 pcs)",1,40,"fasteners","clamp Pi to chassis"
"7","TT-style DC gearmotor, 3–12 V (× 2)",2,650,"drivetrain","21 mm body OD, drop-in cradle"
"8","M3 × 8 mm countersunk screw (4 pcs – motors)",1,80,"fasteners","motor bracket → chassis; uses countersink() in main.scad"
"9","probots shock-absorber (optional, 4 pcs)",1,400,"suspension","matches shock_pitch_holes pattern"
"10","M3 × 8 mm cap-head screw (8 pcs – shock)",1,80,"fasteners","pivot pins for the swing arms"
"11","Li-ion 18650 cell, protected (× 2)",2,250,"power","battery_type = 0"
"12","14500 Li-ion cell, protected",1,180,"power","alt: battery_type = 1"
"13","AA Ni-MH 1.2 V 2500 mAh (× 4)",4,80,"power","alt: battery_type = 2"
"14","JST-PH 2-pin battery pigtail",1,30,"power","solder to battery holder pads"
"15","XT60 connector pair",1,180,"power","motor rail side"
"16","Inline 30 A blade fuse + holder",1,150,"power","in series with motor rail"
"17","N52 neodymium disc magnet, 6 mm × 2 mm (× 4)",4,40,"attachment","glue into magnet_pockets in the four corners"
"18","Injection-moulded belt clip (optional)",1,80,"attachment","alternative to the printed clip"
"19","M3 × 8 mm cap-head + hex nut (4 pcs – VESA)",1,80,"attachment","accessories mounted on the VESA deck"
"20","Pi Camera Module 3 (IMX708)",1,2500,"vision","optional; sits above the Pi recess"
"21","Camera FPC cable 22-pin 200 mm",1,200,"vision"
"22","Piezo buzzer (3 V)",1,60,"audio","optional; seated in the vent slots"
"23","N20 micro metal gearmotor (optional)",1,180,"drivetrain","alt: motor_count = 1 .. 3 in main.scad"
"","","","","",""
"","**TOTAL (build, mid-band)**","**1 set**","**~13 800**","","all figures in INR (₹), July 2026 estimate"
"","PETG filament 200 g (chassis)","1 spool","650","consumable","~200 g of 1 kg spool per chassis"
"","Print time","1 chassis","","time","~6 h on a Creality Ender-3 v3 SE @ 60 mm/s outer"
